ID,Category,Subcategory,Organization Name,Phone,Email,Address,City,State,Zip,Website,Keywords,Description,Source
f74e9961-55eb-4343-adc9-62ed312ba74b,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | HOLY FAMILY CONFERENCE | FINANCIAL ASSISTANCE - HOLY FAMILY CONFERENCE,"817-727-0121 
							Holy Family Conference",societysvdpfw@gmail.com,6150 Pershing Avenue,Fort Worth,TX,76107,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilHolyFamilyConferenceFinancialAssistanceHolyFamilyConference_1208_19_0
7f122a15-c8e4-412b-9b2f-d9197a69e766,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | OUR MOTHER OF MERCY CONFERENCE | FINANCIAL ASSISTANCE - OUR MOTHER OF MERCY CONFERENCE,"817-768-1950 
							Our Mother of Percey Conference",societysvdpfw@gmail.com,1001 East Terrell Avenue,Fort Worth,TX,76104,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilOurMotherofMercyConferenceFinancialAssistanceOurMotherofMercyConference_1208_19_0
ad94145b-ce1b-4f42-958f-4ddcfd5f3eba,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST ANDREW CONFERENCE | FINANCIAL ASSISTANCE - ST ANDREW CONFERENCE,"817-926-5741 
							St Andrew Conference",societysvdpfw@gmail.com,3312 Dryden Road,Fort Worth,TX,76109,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStAndrewConferenceFinancialAssistanceStAndrewConference_1208_19_0
e179f806-8b6f-41e2-abca-1c95c8f35485,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST BARTHOLOMEW CONFERENCE | FINANCIAL ASSISTANCE - ST BARTHOLOMEW CONFERENCE,"817-361-8420 
							St Bartholomew Conference",societysvdpfw@gmail.com,3565 Altamesa Boulevard,Fort Worth,TX,76133,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStBartholomewConferenceFinancialAssistanceStBartholomewConference_1208_19_0
04746115-1f0d-45ae-abe7-0ece968c2823,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST CATHERINE OF SIENA CONFERENCE | FINANCIAL ASSISTANCE - ST CATHERINE OF SIENA CONFERENCE,"972-480-5287 
							St Catherine of Siena Conference",societysvdpfw@gmail.com,1705 East Peters Colony Road,Carrollton,TX,75007,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance for rent and utility bills based on available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStCatherineofSienaConferenceFinancialAssistanceStCatherineofSienaConference_1208_19_0
483e9495-0e29-4b5f-a277-c58089749540,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST JOSEPH CONFERENCE | FINANCIAL ASSISTANCE - ST JOSEPH CONFERENCE,"682-429-8231 
							St Joseph Conference",societysvdpfw@gmail.com,1927 Southwest Green Oaks Boulevard,Arlington,TX,76017,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStJosephConferenceFinancialAssistanceStJosephConference_1208_19_1
2c493362-b207-4d1e-9a16-d46ab44b2544,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST JUDE CONFERENCE | FINANCIAL ASSISTANCE - ST JUDE CONFERENCE,"682-518-0366 
							St Jude Conference",societysvdpfw@gmail.com,500 East Dallas Street,Mansfield,TX,76063,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStJudeConferenceFinancialAssistanceStJudeConference_1208_19_0
1c8020c0-8e64-4270-b6e9-808fc74b8135,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST MARIA GORETTI CONFERENCE | FINANCIAL ASSISTANCE - ST MARIA GORETTI CONFERENCE,"817-260-0376 
							St Maria Goretti Conference",societysvdpfw@gmail.com,1200 South Davis Drive,Arlington,TX,76013,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStMariaGorettiConferenceFinancialAssistanceStMariaGorettiConference_1208_19_0
93c528ba-9512-427b-8cdb-4b8945005771,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST PETER THE APOSTLE CONFERENCE | FINANCIAL ASSISTANCE - ST PETER THE APOSTLE CONFERENCE,"817-595-6909 
							St Peter the Apostle Conference",societysvdpfw@gmail.com,1201 South Cherry Lane,White Settlement,TX,76108,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStPetertheApostleConferenceFinancialAssistanceStPetertheApostleConference_1208_19_0
6bfbea42-39b9-4a64-aa5f-161d34f4d51b,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST STEPHEN CONFERENCE | FINANCIAL ASSISTANCE - ST STEPHEN CONFERENCE,"682-803-0713 
							St Stephen Conference",societysvdpfw@gmail.com,1802 Bethel Road,Weatherford,TX,76086,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance for utility bills based on available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStStephenConferenceFinancialAssistanceStStephenConference_1208_19_0
3315a687-dd53-4bc3-8ca2-5a5ee7fa4a93,Financial Services,Undesignated Temporary Financial Assistance,SOCIETY OF ST VINCENT DE PAUL (SVDP) - FORT WORTH DISTRICT COUNCIL | ST THOMAS THE APOSTLE CONFERENCE | FINANCIAL ASSISTANCE - ST THOMAS THE APOSTLE CONFERENCE,"817-595-6595 
							St Thomas the Apostle Conference",societysvdpfw@gmail.com,5953 Bowman Roberts Road,Fort Worth,TX,76179,http://www.svdpfw.org/,"Financial Services, Undesignated Temporary Financial Assistance","Provides limited financial assistance which includes gas money and prescription expenses. Services are based on needs assessment and available funding; will provide additional community resources if no funding is available. Funding availability varies as this comes from donations. NOTE: The agency will attempt to help anyone meeting their eligibility, but sometimes funding is not available at the time the help-seeker calls.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=SocietyofStVincentdePaulSVDPFortWorthDistrictCouncilStThomastheApostleConferenceFinancialAssistanceStThomastheApostleConference_1208_19_0
