ID,Category,Subcategory,Organization Name,Phone,Email,Address,City,State,Zip,Website,Keywords,Description,Source
37b539b3-7515-4b09-993e-ea2a33d3adf1,Employment Resources,Job Readiness,"BATTERED WOMENS FOUNDATION (BWF), THE | MAIN OFFICE | DOMESTIC ABUSE SERVICES","817-284-8464 
							Intake Line",,4166 Willman Avenue,North Richland Hills,TX,76180,http://marylousplace.org/,"Employment Resources, Job Readiness","Provides group counseling, life skills classes, job assistance, and more for battered women and their children. Makes referrals to shelters to those in need, but does not provide shelter directly. Provides food as a secondary service to clients.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=BatteredWomensFoundationBWFTheMainOfficeDomesticAbuseServices_1208_19_0
526a2526-6eb2-450b-a22a-ec06c52bc56a,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | ARLINGTON LEADERSHIP ACADEMY - MATLOCK | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,600 Matlock Centre Cir,Arlington,TX,76015,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasArlingtonLeadershipAcademyMatlockJobResourceCenters_1208_19_0
b61a0f62-f59d-4307-8492-88dba029906d,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | ARLINGTON STORE - LAMAR | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,901 W Lamar Blvd,Arlington,TX,76012,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasArlingtonStoreLamarJobResourceCenters_1208_19_0
c7f680d3-f8d1-4777-bfb9-20a9a342f8bc,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | OUTLET STORE - CAMPUS DRIVE | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,4005 Campus Dr,Fort Worth,TX,76119,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasOutletStoreCampusDriveJobResourceCenters_1208_19_0
5c625ca7-afe9-4798-8d59-4bd211208205,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | STORE - DENTON | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,2030 W University Dr,Denton,TX,76201,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasStoreDentonJobResourceCenters_1208_19_0
38ebba12-67fe-42a1-bc4f-12014caa5b47,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | STORE - HURST | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,825 W Pipeline Rd,Hurst,TX,76053,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasStoreHurstJobResourceCenters_1208_19_0
224dc9c7-61df-448e-828a-0ae76be29cd0,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | STORE - WEATHERFORD | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,1801 S Main St,Weatherford,TX,76086,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasStoreWeatherfordJobResourceCenters_1208_19_0
53d6afbf-9c6c-4c1c-be79-c438895f1831,Employment Resources,Job Readiness,OPENING DOORS FOR WOMEN IN NEED | MAIN OFFICE | CHANGE A LIFE: THE NEHEMIAH PROJECT,"817-920-9326 
							Main Phone",info@opendoors4women.org,3600 Horne St,Fort Worth,TX,76107,http://opendoors4women.org/programs/,"Employment Resources, Job Readiness","Offers job readiness training, entrepreneur training, computer literacy, and clothing.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=OpeningDoorsForWomenInNeedMainOfficeChangeALifeTheNehemiahProject_1208_19_0
5e6713f1-8076-49f3-9b58-2005ea78fd62,Employment Resources,Job Readiness,GOODWILL NORTH CENTRAL TEXAS | CORPORATE OFFICE | JOB RESOURCE CENTERS,"817-332-7866 
							Main Phone",jrc@goodwillnct.org,4005 Campus Dr,Fort Worth,TX,76119,http://www.goodwillnorthcentraltexas.org/services/job-resource-centers/,"Employment Resources, Job Readiness","Provides job placement services, free computer and internet access, one-on-one career counseling, job readiness skills. Provides training to include resume writing, interviewing skills and job search techniques as well as vocational assessments and much more.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=GoodwillNorthCentralTexasCorporateOfficeJobResourceCenters_1208_19_0
cc606afb-1d62-4041-8c9a-76d8d8bbcedf,Employment Resources,Job Readiness,MANSFIELD MISSION CENTER | MISSION CENTER | SUPPORTIVE SERVICES,"817-473-6611 
							Mission Center",info@mansfieldmission.org,703 E Broad St,Mansfield,TX,76063,https://www.mansfieldmission.org/services,"Employment Resources, Job Readiness","Provides Employment Services include job training and/or certifications for in-demand jobs, employment workshops and assistance with job search, mock interviews, resume writing, and financial coaching. Scholarships for certifications are also available.Offers adults Support with utility, and assistance with application for state benefits such as SNAP, Medicaid, CHIP, and TANF. Note: The agency does not assist with deposit or reconnection or late fees. By making this referral, we know you fit the basic eligibility for this service. However, the referral to this agency is not a guarantee of assistance.",https://tarrant.tx.networkofcare.org/pr/services/agency.aspx?pid=MansfieldMissionCenterMissionCenterSupportiveServices_1208_19_0
